QSO-J2228+0152,35.3,34.6,-0.0,0.0,5.0,5.0,-2.0,-14.0,-11.679,-6.703,-0.34,-0.06,6.4,10.27,208.7,1.63
QSO-J2229+1457,34.4,34.5,-4.0,0.25,3.42,2.28,-67.0,-148.0,-34.515,-73.059,-1.0,-1.94,56.1,8.64,36.8,1.22
QSO-J2232+0012,35.6,35.5,-1.45,0.71,2.58,1.17,-119.0,-99.0,-47.064,53.667,-1.33,-3.36,7.3,20.2,208.7,1.61
QSO-J2232+2930,31.6,31.4,0.25,-2.25,2.68,1.25,-86.0,-87.0,-49.587,-9.269,-1.58,-2.74,4.5,19.96,104.3,1.24
QSO-J2236+0032,34.9,34.9,0.0,-0.0,5.0,5.0,-2.0,-16.0,-3.38,-3.075,-0.1,-0.07,17.6,17.99,44.7,1.64
QSO-J2239+0207,35.8,36.6,0.0,0.0,5.0,5.0,15.0,98.0,25.532,51.024,0.7,0.41,113.6,13.07,10.1,1.75
QSO-J2240-1839,36.9,37.0,-0.0,0.0,5.0,5.0,-6.0,-32.0,-3.294,44.686,-0.09,-0.16,172.3,2.72,8.0,1.66
QSO-J2255+0503,40.7,41.0,-0.0,-0.0,5.0,5.0,-14.0,-82.0,-23.452,10.424,-0.57,-0.35,19.1,8.66,89.4,2.41
QSO-J2310+1855,31.6,32.4,-0.0,0.0,5.0,5.0,10.0,79.0,29.748,14.735,0.92,0.31,31.0,2.26,39.1,1.34
QSO-J2318-0246,33.8,34.0,-1.82,1.42,1.44,8.0,49.0,119.0,18.915,-27.892,0.56,1.43,4.9,8.17,157.0,2.2
QSO-J2318-3029,46.8,47.0,0.08,-1.93,2.21,3.27,136.0,169.0,117.466,9.628,2.5,2.89,11.5,17.65,78.2,2.11
QSO-J2318-3113,44.9,42.0,-1.58,-1.31,1.52,2.99,661.0,555.0,661.4148564490508,-43.813,15.75,15.75,5.8,20.89,125.6,1.52
QSO-J2329-0301,32.5,32.6,-0.61,-0.07,6.81,1.13,72.0,92.0,49.049,-4.273,1.5,2.19,13.1,9.06,125.2,3.03
QSO-J2348-3054,42.0,41.9,1.54,1.7,1.48,2.59,149.0,97.0,148.79556653427377,44.071,3.55,3.55,11.6,6.94,125.2,1.75
QSO-J2356+0017,33.8,34.7,-0.0,-0.0,5.0,5.0,6.0,37.0,18.976,-42.081,0.55,0.18,7.0,8.78,104.3,2.27
QSO-J2356+0023,35.1,34.2,2.17,-2.96,4.93,1.42,94.0,154.0,52.747,-5.42,1.54,2.74,9.7,4.03,48.2,2.48
QSO-J2356-0622,39.8,38.6,-1.23,-2.59,1.54,3.24,70.0,89.0,65.014,-16.055,1.68,1.82,11.0,19.0,32.9,1.85
